CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17
1.0,46.64508819580078,17.360347747802734,71.85916900634766,55.519771575927734,0.0,0.0,-0.0,0.0,0.2987663149833679,0.9486059546470642,-0.15466268360614777,7.736820220947266,-4.318580150604248,-5.2799601554870605,0.0,538358.0
1.0,31.370765686035156,-14.661596298217773,146.39491271972656,129.95660400390625,0.0,0.0,-0.0,0.0,0.2987663149833679,0.9486059546470642,-0.15466268360614777,7.736820220947266,-4.318580150604248,-5.2799601554870605,0.0,538359.0
1.0,12.195886611938477,-38.28019714355469,147.3818817138672,141.85313415527344,0.0,0.0,-0.0,0.0,0.2987663149833679,0.9486059546470642,-0.15466268360614777,7.736820220947266,-4.318580150604248,-5.2799601554870605,0.0,538360.0
1.0,-13.421365737915039,-41.65324020385742,58.06594467163086,76.1585922241211,0.0,0.0,-0.0,0.0,0.2987663149833679,0.9486059546470642,-0.15466268360614777,7.736820220947266,-4.318580150604248,-5.2799601554870605,0.0,538361.0
1.0,-41.12855911254883,-23.39389991760254,-75.17063903808594,-36.318023681640625,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538362.0
1.0,-55.805721282958984,6.759288787841797,-172.39683532714844,-135.58535766601562,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538363.0
1.0,-42.90428161621094,32.736324310302734,-176.6090545654297,-164.08961486816406,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538364.0
1.0,-7.432694911956787,40.688575744628906,-89.01333618164062,-103.66175079345703,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538365.0
1.0,32.76442337036133,26.957077026367188,43.23759841918945,12.434637069702148,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538366.0
1.0,64.85053253173828,-0.19574399292469025,161.4680633544922,125.56297302246094,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538367.0
1.0,74.53046417236328,-25.953065872192383,210.69699096679688,178.01068115234375,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538368.0
1.0,46.26072311401367,-37.0817756652832,156.236083984375,135.94078063964844,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538369.0
1.0,-8.79466438293457,-27.976675033569336,19.085697174072266,20.766847610473633,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538370.0
1.0,-52.2101936340332,-3.213768720626831,-124.63407135009766,-96.33689880371094,0.0,0.0,-0.0,0.0,0.3000480532646179,0.9490942358970642,-0.15222129225730896,5.829319953918457,-4.165979862213135,-2.1821799278259277,0.0,538371.0
1.0,-59.114097595214844,23.573076248168945,-197.5756378173828,-149.68592834472656,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538372.0
1.0,-39.63627243041992,36.633544921875,-171.3594970703125,-122.79154205322266,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538373.0
1.0,-16.65215301513672,28.396591186523438,-70.40206909179688,-43.41620635986328,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538374.0
1.0,0.1311567723751068,4.099226951599121,54.650352478027344,44.35765075683594,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538375.0
1.0,6.501646995544434,-22.970335006713867,140.9279327392578,96.10208892822266,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538376.0
1.0,-4.7961554527282715,-39.074581146240234,135.3609161376953,82.08147430419922,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538377.0
1.0,-22.72801399230957,-35.36574935913086,45.3238525390625,14.31672191619873,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538378.0
1.0,-20.816890716552734,-12.323783874511719,-60.14705276489258,-57.02353286743164,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538379.0
1.0,8.705281257629395,18.501157760620117,-113.30886840820312,-86.16227722167969,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538380.0
1.0,48.73318099975586,40.10704040527344,-90.39688110351562,-59.54548645019531,0.0,0.0,-0.0,0.0,0.3061515688896179,0.926755428314209,-0.15771444141864777,12.421640396118164,-3.0062201023101807,-3.0977799892425537,0.0,538381.0
1.0,74.89974975585938,40.49205017089844,-11.47951602935791,6.062527179718018,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538382.0
1.0,67.5202865600586,19.510210037231445,78.19938659667969,75.48345184326172,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538383.0
1.0,20.43703269958496,-11.72120189666748,129.263427734375,110.54601287841797,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538384.0
1.0,-46.82472229003906,-36.432403564453125,109.94514465332031,90.5583267211914,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538385.0
1.0,-90.46858978271484,-40.715736389160156,30.7078857421875,26.762907028198242,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538386.0
1.0,-77.92150115966797,-21.851491928100586,-61.088279724121094,-48.68976593017578,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538387.0
1.0,-21.652252197265625,9.350057601928711,-119.23155212402344,-103.21499633789062,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538388.0
1.0,37.31926727294922,34.77540588378906,-121.1838150024414,-112.03230285644531,0.0,0.0,-0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538389.0
1.0,67.86368560791016,40.165096282958984,-69.68528747558594,-69.14750671386719,0.0,0.0,0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538390.0
1.0,61.787925720214844,23.215662002563477,10.905082702636719,4.50812292098999,0.0,0.0,0.0,0.0,0.3021842837333679,0.925900936126709,-0.16369587182998657,5.051060199737549,-6.7601799964904785,-6.2565999031066895,0.0,538391.0
1.0,27.642288208007812,-6.316906929016113,85.97355651855469,74.31382751464844,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538392.0
1.0,-17.9948673248291,-32.43873977661133,120.16020202636719,108.06786346435547,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538393.0
1.0,-56.58468246459961,-41.13979721069336,89.63107299804688,86.00997924804688,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538394.0
1.0,-69.18358612060547,-27.48748016357422,5.724268436431885,16.58588981628418,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538395.0
1.0,-45.22104263305664,1.574177861213684,-83.18126678466797,-61.738746643066406,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538396.0
1.0,-0.1007046103477478,29.8482723236084,-128.9105224609375,-108.98339080810547,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538397.0
1.0,32.43404006958008,40.899497985839844,-113.6732406616211,-107.21051788330078,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538398.0
1.0,38.05663299560547,28.827232360839844,-43.44022750854492,-56.25508117675781,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538399.0
1.0,31.258146286010742,1.189335823059082,59.86609649658203,30.576414108276367,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538400.0
1.0,26.403837203979492,-26.60512351989746,151.69190979003906,118.12425231933594,0.0,0.0,0.0,0.0,0.3053581118583679,0.923886775970459,-0.16076618432998657,1.4802199602127075,-5.356259822845459,-8.194620132446289,0.0,538401.0
1.0,23.317577362060547,-39.54121398925781,178.69512939453125,155.8351593017578,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538402.0
1.0,15.010037422180176,-30.788679122924805,114.55531311035156,111.18732452392578,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538403.0
1.0,-6.2716546058654785,-5.410593032836914,-19.447511672973633,0.19420377910137177,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538404.0
1.0,-38.79848098754883,22.82131004333496,-157.89794921875,-116.89311981201172,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538405.0
1.0,-61.0123291015625,39.03797912597656,-219.28395080566406,-173.0704803466797,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538406.0
1.0,-49.70339584350586,34.82340621948242,-161.42930603027344,-136.96157836914062,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538407.0
1.0,-10.404342651367188,12.065790176391602,-18.65397834777832,-30.714614868164062,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538408.0
1.0,26.85871696472168,-17.949892044067383,123.72347259521484,85.4481201171875,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538409.0
1.0,42.45414352416992,-39.29622268676758,191.4309844970703,150.05709838867188,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538410.0
1.0,42.38300704956055,-39.60175323486328,162.3191375732422,135.36746215820312,0.0,0.0,0.0,0.0,0.2996818423271179,0.923703670501709,-0.15985067188739777,16.908079147338867,-6.958559989929199,-2.868880033493042,0.0,538411.0
1.0,39.136627197265625,-17.78021240234375,65.0550308227539,59.079315185546875,0.0,0.0,0.0,0.0,0.3056632876396179,0.929624080657959,-0.17053179442882538,21.302959442138672,-5.478340148925781,0.091559998691082,0.0,538412.0
1.0,36.427677154541016,14.784557342529297,-43.28507614135742,-30.489070892333984,0.0,0.0,0.0,0.0,0.3056632876396179,0.929624080657959,-0.17053179442882538,21.302959442138672,-5.478340148925781,0.091559998691082,0.0,538413.0
1.0,29.36747932434082,40.282901763916016,-109.07818603515625,-86.15447235107422,0.0,0.0,0.0,0.0,0.3056632876396179,0.929624080657959,-0.17053179442882538,21.302959442138672,-5.478340148925781,0.091559998691082,0.0,538414.0
