CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17
1.0,-2.568272113800049,-33.4771614074707,75.29939270019531,0.9105291366577148,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533352.0
1.0,-32.30601501464844,-15.515608787536621,-26.964418411254883,-95.19171905517578,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533353.0
1.0,-45.709983825683594,10.583456993103027,-117.97996520996094,-148.74514770507812,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533354.0
1.0,-43.05941390991211,30.110454559326172,-156.5067596435547,-146.9512939453125,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533355.0
1.0,-27.88133430480957,32.268917083740234,-121.82247924804688,-82.07704162597656,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533356.0
1.0,1.569158911705017,16.686298370361328,-23.588573455810547,29.735305786132812,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533357.0
1.0,39.21699523925781,-7.366664886474609,93.14506530761719,138.40139770507812,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533358.0
1.0,59.53059768676758,-26.984771728515625,160.4155731201172,179.9613800048828,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533359.0
1.0,41.46821212768555,-31.951839447021484,133.07000732421875,125.44538879394531,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533360.0
1.0,-3.6153860092163086,-19.566068649291992,28.00982666015625,8.738017082214355,0.0,0.0,-0.0,0.0,0.5064073801040649,0.8793312311172485,0.10693331807851791,-6.62283992767334,-16.526580810546875,24.766979217529297,0.0,533361.0
1.0,-44.13632583618164,3.5816738605499268,-89.9094467163086,-106.572998046875,0.0,0.0,-0.0,0.0,0.5145250558853149,0.8830543756484985,0.08544900268316269,-0.2899399995803833,-10.651479721069336,28.810880661010742,0.0,533362.0
1.0,-55.866783142089844,24.91302490234375,-150.76861572265625,-165.22564697265625,0.0,0.0,-0.0,0.0,0.5145250558853149,0.8830543756484985,0.08544900268316269,-0.2899399995803833,-10.651479721069336,28.810880661010742,0.0,533363.0
1.0,-34.763851165771484,32.972564697265625,-121.09955596923828,-141.9440155029297,0.0,0.0,-0.0,0.0,0.5145250558853149,0.8830543756484985,0.08544900268316269,-0.2899399995803833,-10.651479721069336,28.810880661010742,0.0,533364.0
1.0,2.442617654800415,23.579782485961914,-24.792030334472656,-57.37099838256836,0.0,0.0,-0.0,0.0,0.5145250558853149,0.8830543756484985,0.08544900268316269,-0.2899399995803833,-10.651479721069336,28.810880661010742,0.0,533365.0
