CH_1,CH_2,CH_3,CH_4,CH_5,CH_6,CH_7,CH_8,CH_9,CH_10,CH_11,CH_12,CH_13,CH_14,CH_15,CH_16,CH_17
1.0,-78.36990356445312,-46.5112190246582,69.81843566894531,69.79739379882812,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523342.0
1.0,-88.49805450439453,-35.85810089111328,-25.589136123657227,-12.86311149597168,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523343.0
1.0,-51.42667770385742,-5.371983528137207,-103.99665832519531,-85.56440734863281,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523344.0
1.0,15.973838806152344,28.865978240966797,-122.2027816772461,-111.29148864746094,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523345.0
1.0,70.78502655029297,47.688880920410156,-81.52816009521484,-86.7235107421875,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523346.0
1.0,72.46968841552734,40.0712890625,-19.179176330566406,-35.7582893371582,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523347.0
1.0,22.02244758605957,10.390350341796875,33.25567626953125,17.99348258972168,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523348.0
1.0,-39.3053092956543,-24.54705810546875,65.31250762939453,60.492366790771484,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523349.0
1.0,-66.52379608154297,-45.59077835083008,72.67362976074219,78.96817016601562,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523350.0
1.0,-46.82756042480469,-41.81583023071289,52.776268005371094,65.61859130859375,0.0,0.0,0.0,0.0,0.33349522948265076,0.936887264251709,-0.07617168128490448,8.454039573669434,1.2818399667739868,0.5340999960899353,0.0,523351.0
1.0,-0.34688717126846313,-15.944721221923828,12.292923927307129,26.674785614013672,0.0,0.0,0.0,0.0,0.32916176319122314,0.935727596282959,-0.07812479883432388,18.80031967163086,3.7081799507141113,7.782599925994873,0.0,523352.0
